Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
1999-01-04,0.308709442615509,0.0076361347734013,0.0001734126938713,0.0,,,0,0.0,,,2,2,-0.6
1999-01-05,0.3241447508335113,0.04999946903868,0.0001734126938713,0.0,,,0,0.0,,,2,2,-0.6
1999-01-06,0.3124512434005737,-0.0360749554107192,0.0001734126938713,0.0,,,0,0.0,,,2,2,-0.6
1999-01-07,0.3367738127708435,0.0778443673501001,0.000171031743761,0.0,,,0,0.0,,,2,2,-0.6
1999-01-08,0.3367738127708435,0.0,0.000173015878314,0.0,,,0,0.0,,,2,2,-0.6
1999-01-11,0.3433217406272888,0.0194431027833532,0.0001742063439081,0.0,,,0,0.0,,,2,2,-0.6
1999-01-12,0.3451924920082092,0.0054489744153756,0.000173015878314,0.0,,,0,0.0,,,2,2,-0.6
1999-01-13,0.3479996919631958,0.0081322740788924,0.0001722222282772,0.0,,,0,0.0,,,2,2,-0.6
1999-01-14,0.3096448183059692,-0.110215251745921,0.000171031743761,0.0,,,1,1.0,,,1,2,0.4
1999-01-15,0.3091772794723511,-0.0015099197725185,0.0001714285782405,1.0,,,1,1.0,,,3,3,-0.4
1999-01-19,0.3059023022651672,-0.0105925545783087,0.0001698412781669,1.0,,,1,1.0,,,3,3,-0.4
1999-01-20,0.3035638332366943,-0.0076444963347998,0.0001702380937243,1.0,,,1,1.0,,,3,3,-0.4
1999-01-21,0.2904670536518097,-0.0431434121951964,0.0001670634935772,1.0,,,1,1.0,,,3,3,-0.4
1999-01-22,0.2899994552135467,-0.0016098157515086,0.0001686507936507,1.0,,,1,1.0,,,3,3,-0.4
1999-01-25,0.2946773469448089,0.0161306914449805,0.0001702380937243,1.0,,,1,1.0,,,3,3,-0.4
1999-01-26,0.303096204996109,0.0285697497231671,0.0001726190438346,1.0,,,1,1.0,,,3,3,-0.4
1999-01-27,0.3002898395061493,-0.0092589925037027,0.000173015878314,1.0,,,1,1.0,,,3,3,-0.4
1999-01-28,0.3059023022651672,0.0186901520485942,0.0001734126938713,1.0,,,1,1.0,,,3,3,-0.4
1999-01-29,0.3082416355609894,0.0076473216399475,0.000173015878314,1.0,,,0,0.0618452686777335,,,2,3,0.5381547313222664
1999-02-01,0.3063699603080749,-0.0060721039502275,0.0001749999939449,1.0,,,0,0.050506110511302,,,1,3,0.5494938894886979
1999-02-02,0.2932732105255127,-0.0427481524931249,0.0001749999939449,0.0,,,0,0.364857095419435,,,2,2,-0.23514290458056497
1999-02-03,0.3007575273513794,0.0255199471252611,0.000173015878314,0.0,,,0,0.3907671138120791,,,2,2,-0.20923288618792085
1999-02-04,0.2834513783454895,-0.0575418648979344,0.000173015878314,0.0,,,1,0.6447677597895243,,,1,2,0.0447677597895243
1999-02-05,0.2717576622962951,-0.041254751052723,0.0001742063439081,1.0,,,1,0.7666498283399914,,,3,3,-0.16664982833999142
1999-02-08,0.2825160324573517,0.0395881023929578,0.0001746031783875,1.0,,,1,0.7666498283399914,,,3,3,-0.16664982833999142
1999-02-09,0.2783055901527405,-0.014903374750057,0.0001749999939449,1.0,,,1,0.7144859822886986,,,3,3,-0.11448598228869866
1999-02-10,0.2867253720760345,0.0302537290705264,0.0001734126938713,1.0,,,1,0.7582042992230426,,,3,3,-0.15820429922304258
1999-02-11,0.2965480983257293,0.0342583084941992,0.0001742063439081,1.0,,,1,0.7582042992230426,,,3,3,-0.15820429922304258
1999-02-12,0.2820482552051544,-0.0488954176487357,0.0001753968284243,1.0,,,1,0.8634475838535358,,,3,3,-0.26344758385353584
1999-02-16,0.2867253720760345,0.016582683227301,0.0001746031783875,1.0,,,1,0.902323998001026,,,3,3,-0.30232399800102605
1999-02-17,0.2769024670124054,-0.034258932136024,0.0001749999939449,1.0,,,1,0.8458969387049584,,,3,3,-0.24589693870495843
1999-02-18,0.269419252872467,-0.0270247290342962,0.0001749999939449,1.0,,,1,0.7696601426706108,,,3,3,-0.1696601426706108
1999-02-19,0.2783055901527405,0.0329833045913758,0.0001765872940184,1.0,,,0,0.5517756758639912,,,2,3,0.048224324136008745
1999-02-22,0.2876607775688171,0.033614802386622,0.0001781745940919,1.0,,,0,0.4379729703970779,,,1,3,0.1620270296029221
1999-02-23,0.2876607775688171,0.0,0.0001801587286449,0.0,,,0,0.4379729703970779,,,2,2,-0.1620270296029221
1999-02-24,0.28017657995224,-0.0260174420712835,0.0001801587286449,0.0,,,0,0.4764097755908063,,,2,2,-0.1235902244091937
