Date,close,ret,rf,state,lam,p_bear,raw_state,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2002-01-02,3.946739196777344,-0.0039445514814631,6.74603193525284e-05,1.0,30.0,,1.0,0.3352331907200613,,3,3,
2002-01-03,4.071781635284424,0.0316824680508864,6.70634943341452e-05,1.0,30.0,,1.0,0.2001467751649809,,3,3,
2002-01-04,4.181198596954346,0.0268720111908158,6.666666458523462e-05,1.0,30.0,,1.0,0.1907759483280084,,3,3,
2002-01-07,4.196828842163086,0.00373822119335,6.587301454846822e-05,1.0,30.0,,1.0,0.180630183354144,,3,3,
2002-01-08,4.181198596954346,-0.0037242989401217,6.547618953008501e-05,1.0,30.0,,1.0,0.1659878870000689,,3,3,
2002-01-09,4.142121315002441,-0.0093459521344834,6.547618953008501e-05,1.0,30.0,,1.0,0.1666859743254411,,3,3,
2002-01-10,4.1890130043029785,0.0113206943337702,6.547618953008501e-05,1.0,30.0,,1.0,0.1541718772760843,,3,3,
2002-01-11,4.212460041046143,0.005597269981993,6.309523941978576e-05,1.0,30.0,,1.0,0.1551473952526264,,3,3,
2002-01-14,4.212460041046143,0.0,6.111110959734234e-05,1.0,30.0,,1.0,0.1583902216883611,,3,3,
2002-01-15,4.228089809417725,0.0037103659665103,6.190475963410877e-05,1.0,30.0,,1.0,0.1601715029478236,,3,3,
2002-01-16,4.110861778259277,-0.0277260030989245,6.230158938301934e-05,1.0,30.0,,1.0,0.2793746876492642,,3,3,
2002-01-17,4.173381805419922,0.0152084965471932,6.349206443816897e-05,1.0,30.0,,1.0,0.1862541537391389,,3,3,
2002-01-18,4.165566444396973,-0.0018726685904461,6.269841440140256e-05,1.0,30.0,,1.0,0.2182894834272178,,3,3,
2002-01-22,4.056152820587158,-0.0262662053937429,6.50793645117018e-05,1.0,30.0,,1.0,0.4773097734543115,,3,3,
2002-01-23,4.118674278259277,0.0154139798073655,6.626983956685142e-05,1.0,30.0,,1.0,0.3259711989061686,,3,3,
2002-01-24,4.142121315002441,0.0056928601678776,6.626983956685142e-05,1.0,30.0,,1.0,0.2773590124519047,,3,3,
2002-01-25,4.3062424659729,0.0396224877277313,6.666666458523462e-05,1.0,30.0,,1.0,0.1292572201607827,,3,3,
2002-01-28,4.462549209594727,0.0362977107900754,6.70634943341452e-05,1.0,30.0,,1.0,0.1686111826943555,,3,3,
2002-01-29,4.407841205596924,-0.0122593615057907,6.74603193525284e-05,1.0,30.0,,1.0,0.12317902707521,,3,3,
2002-01-30,4.400027751922607,-0.0017726259431476,6.70634943341452e-05,1.0,30.0,,1.0,0.1162400618900578,,3,3,
2002-01-31,4.47817850112915,0.0177614218847586,6.825396938929481e-05,1.0,30.0,,1.0,0.1314719046703861,,3,3,
2002-02-01,4.501626968383789,0.0052361618119345,6.785714437091161e-05,1.0,30.0,,1.0,0.125654900889152,,3,3,
2002-02-04,4.384396553039551,-0.0260417880396534,6.825396938929481e-05,1.0,30.0,,1.0,0.107169239020218,,3,3,
2002-02-05,4.345321178436279,-0.0089123723482954,6.825396938929481e-05,1.0,30.0,,1.0,0.1460707659250468,,3,3,
2002-02-06,4.376580238342285,0.0071937282935792,6.74603193525284e-05,1.0,30.0,,1.0,0.1096380197391914,,3,3,
2002-02-07,4.314058780670166,-0.0142854590267492,6.70634943341452e-05,1.0,30.0,,1.0,0.3222528084442628,,3,3,
2002-02-08,4.384396553039551,0.0163043147869343,6.626983956685142e-05,1.0,30.0,,1.0,0.2206196011334178,,3,3,
2002-02-11,4.439103603363037,0.012477669312453,6.74603193525284e-05,1.0,30.0,,1.0,0.1716568354904029,,3,3,
2002-02-12,4.431289196014404,-0.0017603570555804,6.785714437091161e-05,1.0,30.0,,1.0,0.1743647027102955,,3,3,
2002-02-13,4.360950469970703,-0.0158731969258438,6.785714437091161e-05,1.0,30.0,,1.0,0.249203143139627,,3,3,
2002-02-14,4.493810176849365,0.0304657683671318,6.785714437091161e-05,1.0,30.0,,1.0,0.1245665253764988,,3,3,
2002-02-15,4.384396553039551,-0.0243476291841336,6.74603193525284e-05,1.0,30.0,,1.0,0.2085536247161808,,3,3,
2002-02-19,4.267166614532471,-0.0267379871069848,6.74603193525284e-05,1.0,30.0,,1.0,0.4594549047826157,,3,3,
2002-02-20,4.235904693603516,-0.0073261542735378,6.825396938929481e-05,1.0,30.0,,1.0,0.5236888894481706,,3,3,
2002-02-21,4.282797336578369,0.0110702781027307,6.825396938929481e-05,1.0,30.0,,1.0,0.4080524177439657,,3,3,
2002-02-22,4.181198596954346,-0.0237225186343262,6.825396938929481e-05,1.0,30.0,,1.0,0.6221185186458424,,3,3,
2002-02-25,4.212460041046143,0.0074766704730475,6.865079440767803e-05,1.0,30.0,,1.0,0.5580926647546863,,3,3,
2002-02-26,4.142121315002441,-0.0166977788176794,6.865079440767803e-05,1.0,30.0,,1.0,0.6800275802616572,,3,3,
2002-02-27,4.259350776672363,0.0283017933939611,6.865079440767803e-05,1.0,30.0,,1.0,0.3966855173707598,,3,3,
2002-02-28,4.3062424659729,0.0110091165905739,6.825396938929481e-05,1.0,30.0,,1.0,0.2784520316213323,,3,3,
2002-03-01,4.392210483551025,0.0199635803737081,6.944444444444444e-05,1.0,30.0,,1.0,0.1524667802437492,,3,3,
2002-03-04,4.587595462799072,0.0444844298741533,6.944444444444444e-05,1.0,30.0,,1.0,0.1855451964621948,,3,3,
2002-03-05,4.5328874588012695,-0.0119252023072721,6.944444444444444e-05,1.0,30.0,,1.0,0.158393602641089,,3,3,
2002-03-06,4.587595462799072,0.0120691291136247,6.904761942606123e-05,1.0,30.0,,1.0,0.1572973278184793,,3,3,
2002-03-07,4.501626968383789,-0.0187393363500343,6.944444444444444e-05,1.0,30.0,,1.0,0.1378278355423459,,3,3,
2002-03-08,4.587595462799072,0.0190972053035634,7.023809448121085e-05,1.0,30.0,,1.0,0.1239483974920997,,3,3,
2002-03-11,4.564148902893066,-0.0051108603834262,7.103174451797728e-05,1.0,30.0,,1.0,0.1155317287223675,,3,3,
2002-03-12,4.4234724044799805,-0.0308220659330188,7.142856953636049e-05,1.0,30.0,,1.0,0.2652726133439493,,3,3,
2002-03-13,4.47817850112915,0.0123672291012293,7.103174451797728e-05,1.0,30.0,,1.0,0.1679176579074003,,3,3,
2002-03-14,4.462549209594727,-0.0034901001669502,7.182539455474369e-05,1.0,30.0,,1.0,0.1931180980467199,,3,3,
2002-03-15,4.5328874588012695,0.0157618988391907,7.222222430365428e-05,1.0,30.0,,1.0,0.1090749912340281,,3,3,
2002-03-18,4.446918487548828,-0.0189656090149602,7.222222430365428e-05,1.0,30.0,,1.0,0.252350023513637,,3,3,
2002-03-19,4.517258644104004,0.0158177301320285,7.142856953636049e-05,1.0,30.0,,1.0,0.1282250892066554,,3,3,
2002-03-20,4.5328874588012695,0.0034598007173365,7.182539455474369e-05,1.0,30.0,,1.0,0.1200287981433285,,3,3,
2002-03-21,4.525071144104004,-0.0017243566641146,7.182539455474369e-05,1.0,30.0,,1.0,0.1437759467111408,,3,3,
2002-03-22,4.470363140106201,-0.0120899765452494,7.142856953636049e-05,1.0,30.0,,1.0,0.2661991212809462,,3,3,
2002-03-25,4.4234724044799805,-0.0104892453155621,7.063491949959407e-05,1.0,30.0,,1.0,0.3946186981985605,,3,3,
2002-03-26,4.345321178436279,-0.0176673931467395,7.103174451797728e-05,1.0,30.0,,1.0,0.5489268659602162,,3,3,
2002-03-27,4.3687663078308105,0.0053954882577789,7.063491949959407e-05,1.0,30.0,,1.0,0.5297296058906195,,3,3,
2002-03-28,4.431289196014404,0.0143113372925267,6.904761942606123e-05,1.0,30.0,,1.0,0.4507822671115447,,3,3,
2002-04-01,4.407841205596924,-0.0052914602004694,6.984126946282765e-05,1.0,30.0,,1.0,0.4795638050343299,,3,3,
2002-04-02,4.407841205596924,0.0,6.984126946282765e-05,1.0,30.0,,1.0,0.4762970178181361,,3,3,
2002-04-03,4.337504386901856,-0.0159572034050945,6.944444444444444e-05,1.0,30.0,,1.0,0.588481627533518,,3,3,
2002-04-04,4.353133201599121,0.0036031813003947,6.904761942606123e-05,1.0,30.0,,1.0,0.5635099692971784,,3,3,
2002-04-05,4.384396553039551,0.007181804459589,6.825396938929481e-05,1.0,30.0,,1.0,0.5034876936837752,,3,3,
2002-04-08,4.3687663078308105,-0.0035649706908705,6.785714437091161e-05,1.0,30.0,,1.0,0.5326420121752409,,3,3,
2002-04-09,4.3062424659729,-0.0143115555862621,6.70634943341452e-05,1.0,30.0,,1.0,0.6419316519015029,,3,3,
2002-04-10,4.196828842163086,-0.0254081428703515,6.626983956685142e-05,1.0,30.0,,1.0,0.7382569151476216,,3,3,
2002-04-11,4.173381805419922,-0.0055868460747328,6.626983956685142e-05,1.0,30.0,,1.0,0.7588892998367063,,3,3,
2002-04-12,4.274981498718262,0.0243446916757996,6.626983956685142e-05,1.0,30.0,,1.0,0.6698929254795092,,3,3,
2002-04-15,4.243720531463623,-0.0073125386072457,6.626983956685142e-05,1.0,30.0,,1.0,0.722370549854791,,3,3,
2002-04-16,4.3687663078308105,0.0294660723862654,6.74603193525284e-05,1.0,30.0,,1.0,0.4424638071271742,,3,3,
2002-04-17,4.376580238342285,0.0017885897209628,6.70634943341452e-05,1.0,30.0,,1.0,0.4336427864611364,,3,3,
2002-04-18,4.243720531463623,-0.0303569681448329,6.626983956685142e-05,1.0,30.0,,1.0,0.7280901498964332,,3,3,
2002-04-19,4.2906107902526855,0.0110493276928607,6.74603193525284e-05,1.0,30.0,,1.0,0.6422822248002127,,3,3,
2002-04-22,4.251534938812256,-0.0091072934252627,6.666666458523462e-05,1.0,30.0,,1.0,0.7190988884666245,,3,3,
2002-04-23,4.2906107902526855,0.0091909985458913,6.74603193525284e-05,1.0,30.0,,1.0,0.6409338162360206,,3,3,
2002-04-24,4.314058780670166,0.0054649539573128,6.666666458523462e-05,1.0,30.0,,1.0,0.582728128917213,,3,3,
2002-04-25,4.274981498718262,-0.0090581245964928,6.74603193525284e-05,1.0,30.0,,1.0,0.6773651786717865,,3,3,
2002-04-26,4.274981498718262,0.0,6.74603193525284e-05,1.0,30.0,,1.0,0.6774841473886637,,3,3,
2002-04-29,4.267166614532471,-0.0018280509958076,6.825396938929481e-05,1.0,30.0,,1.0,0.6898551036526046,,3,3,
2002-04-30,4.298429012298584,0.0073262660191528,6.865079440767803e-05,1.0,30.0,,1.0,0.616339522561852,,3,3,
2002-05-01,4.282797336578369,-0.0036366020412317,6.825396938929481e-05,1.0,30.0,,1.0,0.6474656127505494,,3,3,
2002-05-02,4.2906107902526855,0.0018243809034772,6.865079440767803e-05,1.0,30.0,,1.0,0.6312177899867673,,3,3,
2002-05-03,4.314058780670166,0.0054649539573128,6.825396938929481e-05,1.0,30.0,,1.0,0.5768512905686046,,3,3,
2002-05-06,4.267166614532471,-0.0108696168786116,6.865079440767803e-05,1.0,30.0,,1.0,0.6828691233401142,,3,3,
2002-05-07,4.2906107902526855,0.0054940849134814,6.785714437091161e-05,1.0,30.0,,1.0,0.6320077683366818,,3,3,
2002-05-08,4.431289196014404,0.0327875010432801,6.865079440767803e-05,1.0,30.0,,1.0,0.3158048449588921,,3,3,
2002-05-09,4.329689979553223,-0.0229276880760935,6.865079440767803e-05,1.0,30.0,,1.0,0.5633170481585658,,3,3,
2002-05-10,4.384396553039551,0.0126352172429613,6.865079440767803e-05,1.0,30.0,,1.0,0.424524626471415,,3,3,
2002-05-13,4.407841205596924,0.0053472928996625,6.865079440767803e-05,1.0,30.0,,1.0,0.3860516995294794,,3,3,
2002-05-14,4.470363140106201,0.0141842529240592,6.904761942606123e-05,1.0,30.0,,1.0,0.2848558891478722,,3,3,
2002-05-15,4.439103603363037,-0.0069926168777468,6.865079440767803e-05,1.0,30.0,,1.0,0.3560723977620469,,3,3,
2002-05-16,4.3687663078308105,-0.0158449321793119,6.904761942606123e-05,1.0,30.0,,1.0,0.5438812970796709,,3,3,
2002-05-17,4.446918487548828,0.0178888441750553,6.825396938929481e-05,1.0,30.0,,1.0,0.3634159169305054,,3,3,
2002-05-20,4.431289196014404,-0.0035146341400646,6.785714437091161e-05,1.0,30.0,,1.0,0.4153551867027081,,3,3,
2002-05-21,4.446918487548828,0.0035270303613859,6.74999990160503e-05,1.0,30.0,,1.0,0.3932743821098847,,3,3,
2002-05-22,4.439103603363037,-0.0017573706843676,6.734127090090797e-05,1.0,30.0,,1.0,0.4251427087951744,,3,3,
2002-05-23,4.392210483551025,-0.0105636461776845,6.761904746767075e-05,1.0,30.0,,1.0,0.5440669418656214,,3,3,
2002-05-24,4.384396553039551,-0.0017790428169911,6.773809591929118e-05,1.0,30.0,,1.0,0.5657381642883572,,3,3,
2002-05-28,4.392210483551025,0.0017822134510294,6.833333344686598e-05,1.0,30.0,,1.0,0.5474930620466345,,3,3,
2002-05-29,4.314058780670166,-0.0177932508411289,6.813492093767438e-05,1.0,30.0,,1.0,0.7062617836617927,,3,3,
2002-05-30,4.321875095367432,0.0018118238750681,6.797619282253204e-05,1.0,30.0,,1.0,0.6873104689004879,,3,3,
2002-05-31,4.321875095367432,0.0,6.765873186172e-05,1.0,30.0,,1.0,0.6801002921574567,,3,3,
2002-06-03,4.196828842163086,-0.0289333334363089,6.805555688010321e-05,1.0,30.0,,1.0,0.8055231203979194,,3,3,
2002-06-04,4.228089809417725,0.0074487114986863,6.805555688010321e-05,1.0,30.0,,1.0,0.7951431872465313,,3,3,
2002-06-05,4.282797336578369,0.0129390645957396,6.817460533172366e-05,1.0,30.0,,1.0,0.7369270401025756,,3,3,
2002-06-06,4.228089809417725,-0.0127737837822491,6.765873186172e-05,1.0,30.0,,1.0,0.7999419998832271,,3,3,
2002-06-07,4.204643249511719,-0.0055454261765633,6.773809591929118e-05,1.0,30.0,,1.0,0.8126492453411387,,3,3,
2002-06-10,4.259350776672363,0.0130112173409713,6.78968240344335e-05,1.0,30.0,,1.0,0.751089074493256,,3,3,
2002-06-11,4.274981498718262,0.0036697428470799,6.801587248605395e-05,1.0,30.0,,1.0,0.7144718520466854,,3,3,
2002-06-12,4.204643249511719,-0.0164534628343144,6.753968341009957e-05,1.0,30.0,,1.0,0.8116410888182374,,3,3,
2002-06-13,4.267166614532471,0.0148700760826765,6.686507709442624e-05,1.0,30.0,,1.0,0.7250730909996281,,3,3,
2002-06-14,4.095228672027588,-0.0402932339035749,6.646825207604302e-05,1.0,30.0,,1.0,0.8528356172088059,,3,3,
2002-06-17,4.079598903656006,-0.003816580128563,6.70634943341452e-05,1.0,30.0,,1.0,0.8513781152898021,,3,3,
2002-06-18,4.048336982727051,-0.007662988854355,6.714285839171637e-05,1.0,30.0,,1.0,0.8541218704814623,,3,3,
