market,model,thin,hist,need,years,auc,cap,prot,out,fl,avgd,exitd,reentry,missed,n_ep,capP,protP,jm_auc,vm_auc,jm_protP,board
NDX,JM,False,40.8,13.3,27.6,0.7943883727450197,2.5586292355255735,0.5512372011598179,0.165897953300663,2.973049434187016,83.59036144578313,41.333333333333336,10.5,3,6,100.0,100.0,0.7943883727450197,0.8291783428874858,100.0,Global indexes
SPX,JM,False,41.6,14.0,27.6,0.7309852904099275,0.8312394151672373,0.40960061443826884,0.15840299798212742,1.4502680166765933,169.21951219512195,58.0,40.5,0,4,66.66666666666666,97.33333333333334,0.7309852904099275,0.7672491155480494,97.33333333333334,Global indexes
HSI,VM,False,24.6,8.0,16.6,0.6267838303070686,0.9232554582427579,0.198061562281257,0.25937729835744056,3.498678777869529,69.13559322033899,64.0,50.25,0,4,50.66666666666667,81.0,0.5407585348739771,0.6267838303070686,0.0,Global indexes
KOSPI,VM,False,29.6,5.1,24.6,0.6253964347543559,0.6438466367064523,0.1945995414046221,0.1705183228788379,2.8881556966254593,84.13888888888889,76.28571428571429,36.666666666666664,0,7,48.0,90.0,0.4902934102117713,0.6253964347543559,10.0,Global indexes
NIKKEI,VM,False,24.1,7.6,16.6,0.6132644124891187,0.429013967015541,0.17780788616272425,0.19038224414303329,5.006729975227085,48.273809523809526,12.0,28.6,0,5,6.666666666666667,87.0,0.5914805967566454,0.6132644124891187,66.66666666666666,Global indexes
FTSE,JM,False,27.6,5.0,22.6,0.5831437219907225,0.7421448360121291,0.23880777979235723,0.1552751489660007,1.0182727272727272,237.75,121.66666666666667,99.66666666666667,0,3,24.666666666666668,97.0,0.5831437219907225,0.6410716251277616,97.0,Global indexes
AAPL,VM,False,41.6,14.0,27.6,0.6955250200934602,0.29561197691363206,0.4561193406324601,0.22614586336119918,4.024493746277546,61.94642857142857,28.142857142857142,17.285714285714285,0,14,72.0,93.66666666666667,0.5949885935381314,0.6955250200934602,35.66666666666667,US tech
ARKQ,VM,False,11.8,4.3,7.6,0.6817323576480305,0.8756936567818161,0.3061274013358296,0.3838489774514945,8.304132082280764,29.796875,8.0,13.4,0,5,88.66666666666667,90.66666666666666,0.5007911310722213,0.6817323576480305,71.33333333333334,US tech
META,JM,False,14.2,4.6,9.6,0.6800250557983222,1.3342993288166247,0.23391003567959992,0.26442507264425075,2.1915,109.5,53.0,61.5,1,6,90.33333333333333,79.33333333333333,0.6800250557983222,0.6798762602724496,79.33333333333333,US tech
AMZN,VM,False,29.2,5.6,23.6,0.6423154701718907,0.2962055980488094,0.2542309601638504,0.18486686889113582,2.6286128845037724,94.19047619047619,56.714285714285715,16.583333333333332,5,12,41.333333333333336,86.33333333333333,0.5125126390293225,0.6423154701718907,48.66666666666667,US tech
